study,symbol,date,strategy,maker_fee_rate,latency_ms,realized_spread,inventory_revaluation,fee_cost,net_pnl
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,10,-90.32165730001563,-1408.332627400012,1201.2498705416,-2699.9041552416274
crypto,BTCUSDT,2025-07-02,symmetric,0.0,10,-90.32165730001563,-1408.332627400012,0.0,-1498.6542847000276
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,10,-90.32165730001563,-1408.332627400012,-600.6249352708,-898.0293494292275
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,50,-101.85914200001868,-1365.4742127500108,2350.4208264537,-3817.75418120373
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,50,-101.85914200001868,-1365.4742127500108,1175.21041322685,-2642.5437679768793
crypto,BTCUSDT,2025-07-02,symmetric,0.0,50,-101.85914200001868,-1365.4742127500108,0.0,-1467.3333547500295
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,50,-101.85914200001868,-1365.4742127500108,-587.605206613425,-879.7281481366044
crypto,BTCUSDT,2025-07-02,symmetric,0.0002,200,-88.59506375001301,-1228.1797836000128,2204.3200587335004,-3521.0949060835264
crypto,BTCUSDT,2025-07-02,symmetric,0.0001,200,-88.59506375001301,-1228.1797836000128,1102.1600293667502,-2418.9348767167758
crypto,BTCUSDT,2025-07-02,symmetric,0.0,200,-88.59506375001301,-1228.1797836000128,0.0,-1316.7748473500258
crypto,BTCUSDT,2025-07-02,symmetric,-5e-05,200,-88.59506375001301,-1228.1797836000128,-551.0800146833751,-765.6948326666507
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,10,0.37251250000018654,-0.6266087999999401,3.9396377620800007,-4.193734062079754
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,10,0.37251250000018654,-0.6266087999999401,1.9698188810400004,-2.2239151810397537
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,10,0.37251250000018654,-0.6266087999999401,0.0,-0.2540962999997536
