study,symbol,date,strategy,maker_fee_rate,latency_ms,horizon_seconds,sample_count,mean_markout
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,10,30,83,-0.01989099036144798
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,10,60,83,-0.02598152771084475
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,10,1,83,-0.023741192771084108
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,10,5,83,-0.031260579518073414
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,10,30,83,-0.01989099036144798
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,10,60,83,-0.02598152771084475
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,50,1,94,-0.02394284574468073
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,50,5,94,-0.03129665851063903
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,50,30,94,-0.029549865957446186
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,50,60,94,-0.03397998829786999
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,50,1,94,-0.02394284574468073
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,50,5,94,-0.03129665851063903
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,50,30,94,-0.029549865957446186
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,50,60,94,-0.03397998829786999
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,50,1,94,-0.02394284574468073
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,50,5,94,-0.03129665851063903
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,50,30,94,-0.029549865957446186
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,50,60,94,-0.03397998829786999
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,50,1,94,-0.02394284574468073
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,50,5,94,-0.03129665851063903
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,50,30,94,-0.029549865957446186
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,-5e-05,50,60,94,-0.03397998829786999
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,200,1,125,-0.027688915999998606
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,200,5,125,-0.031561047200000296
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,200,30,125,-0.021164058400001125
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0002,200,60,125,-0.02706102880000004
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,200,1,125,-0.027688915999998606
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,200,5,125,-0.031561047200000296
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,200,30,125,-0.021164058400001125
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0001,200,60,125,-0.02706102880000004
crypto,BTCUSDT,2025-07-01,as_gamma_0.001,0.0,200,1,125,-0.027688915999998606
