study,symbol,date,calibration_date,strategy,maker_fee_rate,taker_fee_rate,latency_ms,cancellation_rule,gross_pnl,fees,net_pnl,fill_count,filled_volume,quote_count,quote_volume,fill_ratio,quote_to_fill,mean_abs_inventory,inventory_std,max_abs_inventory,end_inventory,empty_level_placements,beyond_book_placements
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0002,0.00055,10,cancel-from-back,-1406.5672900000027,2231.1557906875405,-3637.723080687543,34308,104.86265399999999,33708,337.07999999983844,0.31109129583496575,0.9825113676110528,0.026768998009259345,0.03059164326208258,0.05,-0.042549999999999075,23,2
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0001,0.00055,10,cancel-from-back,-1406.5672900000027,1115.5778953437703,-2522.145185343773,34308,104.86265399999999,33708,337.07999999983844,0.31109129583496575,0.9825113676110528,0.026768998009259345,0.03059164326208258,0.05,-0.042549999999999075,23,2
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0,0.00055,10,cancel-from-back,-1406.5672900000027,0.0,-1406.5672900000027,34308,104.86265399999999,33708,337.07999999983844,0.31109129583496575,0.9825113676110528,0.026768998009259345,0.03059164326208258,0.05,-0.042549999999999075,23,2
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,-5e-05,0.00055,10,cancel-from-back,-1406.5672900000027,-557.7889476718851,-848.7783423281176,34308,104.86265399999999,33708,337.07999999983844,0.31109129583496575,0.9825113676110528,0.026768998009259345,0.03059164326208258,0.05,-0.042549999999999075,23,2
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0002,0.00055,50,cancel-from-back,-1348.9466998500031,2181.4347130259002,-3530.381412875903,33440,102.523921,33391,333.9099999998413,0.30704058279191615,0.9985346889952154,0.02660986696759266,0.030331281360962786,0.05,-0.0387409999999965,118,24
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0001,0.00055,50,cancel-from-back,-1348.9466998500031,1090.7173565129501,-2439.6640563629535,33440,102.523921,33391,333.9099999998413,0.30704058279191615,0.9985346889952154,0.02660986696759266,0.030331281360962786,0.05,-0.0387409999999965,118,24
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0,0.00055,50,cancel-from-back,-1348.9466998500031,0.0,-1348.9466998500031,33440,102.523921,33391,333.9099999998413,0.30704058279191615,0.9985346889952154,0.02660986696759266,0.030331281360962786,0.05,-0.0387409999999965,118,24
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,-5e-05,0.00055,50,cancel-from-back,-1348.9466998500031,-545.3586782564751,-803.5880215935281,33440,102.523921,33391,333.9099999998413,0.30704058279191615,0.9985346889952154,0.02660986696759266,0.030331281360962786,0.05,-0.0387409999999965,118,24
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0002,0.00055,200,cancel-from-back,-1247.9314356000054,2046.7366060438,-3294.6680416438057,32303,96.192692,30998,309.9799999998631,0.3103190270341392,0.9596012754233353,0.026570676481481623,0.030087643547772856,0.05,-0.02625199999999662,627,268
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0001,0.00055,200,cancel-from-back,-1247.9314356000054,1023.3683030219,-2271.2997386219054,32303,96.192692,30998,309.9799999998631,0.3103190270341392,0.9596012754233353,0.026570676481481623,0.030087643547772856,0.05,-0.02625199999999662,627,268
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,0.0,0.00055,200,cancel-from-back,-1247.9314356000054,0.0,-1247.9314356000054,32303,96.192692,30998,309.9799999998631,0.3103190270341392,0.9596012754233353,0.026570676481481623,0.030087643547772856,0.05,-0.02625199999999662,627,268
crypto,BTCUSDT,2025-07-01,2025-06-30,symmetric,-5e-05,0.00055,200,cancel-from-back,-1247.9314356000054,-511.68415151095,-736.2472840890555,32303,96.192692,30998,309.9799999998631,0.3103190270341392,0.9596012754233353,0.026570676481481623,0.030087643547772856,0.05,-0.02625199999999662,627,268
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0002,0.00055,10,cancel-from-back,-5.753849600000045,3.0368545326800005,-8.790704132680045,83,0.143796,48903,489.02999999970024,0.0002940433102265467,589.1927710843373,0.00031181269675925935,0.0027425614628674845,0.042998,-0.02118,208,48633
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0001,0.00055,10,cancel-from-back,-5.753849600000045,1.5184272663400002,-7.272276866340045,83,0.143796,48903,489.02999999970024,0.0002940433102265467,589.1927710843373,0.00031181269675925935,0.0027425614628674845,0.042998,-0.02118,208,48633
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0,0.00055,10,cancel-from-back,-5.753849600000045,0.0,-5.753849600000045,83,0.143796,48903,489.02999999970024,0.0002940433102265467,589.1927710843373,0.00031181269675925935,0.0027425614628674845,0.042998,-0.02118,208,48633
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,-5e-05,0.00055,10,cancel-from-back,-5.753849600000045,-0.7592136331700001,-4.994635966830045,83,0.143796,48903,489.02999999970024,0.0002940433102265467,589.1927710843373,0.00031181269675925935,0.0027425614628674845,0.042998,-0.02118,208,48633
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0002,0.00055,50,cancel-from-back,-8.201500150000129,3.46683520508,-11.66833535508013,94,0.16420099999999999,48864,488.6399999997006,0.00033603675507551693,519.8297872340426,0.0004262260648148147,0.00381714363255589,0.04732399999999998,-0.02911299999999994,168,48631
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0001,0.00055,50,cancel-from-back,-8.201500150000129,1.73341760254,-9.934917752540128,94,0.16420099999999999,48864,488.6399999997006,0.00033603675507551693,519.8297872340426,0.0004262260648148147,0.00381714363255589,0.04732399999999998,-0.02911299999999994,168,48631
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0,0.00055,50,cancel-from-back,-8.201500150000129,0.0,-8.201500150000129,94,0.16420099999999999,48864,488.6399999997006,0.00033603675507551693,519.8297872340426,0.0004262260648148147,0.00381714363255589,0.04732399999999998,-0.02911299999999994,168,48631
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,-5e-05,0.00055,50,cancel-from-back,-8.201500150000129,-0.86670880127,-7.334791348730129,94,0.16420099999999999,48864,488.6399999997006,0.00033603675507551693,519.8297872340426,0.0004262260648148147,0.00381714363255589,0.04732399999999998,-0.02911299999999994,168,48631
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0002,0.00055,200,cancel-from-back,-8.983597699999631,5.058174351540001,-14.041772051539631,125,0.239544,48911,489.10999999970016,0.0004897548608700432,391.288,0.0006350198379629629,0.0034420502979951866,0.04926299999999999,-0.011019999999999974,183,48655
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0001,0.00055,200,cancel-from-back,-8.983597699999631,2.5290871757700004,-11.512684875769631,125,0.239544,48911,489.10999999970016,0.0004897548608700432,391.288,0.0006350198379629629,0.0034420502979951866,0.04926299999999999,-0.011019999999999974,183,48655
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,0.0,0.00055,200,cancel-from-back,-8.983597699999631,0.0,-8.983597699999631,125,0.239544,48911,489.10999999970016,0.0004897548608700432,391.288,0.0006350198379629629,0.0034420502979951866,0.04926299999999999,-0.011019999999999974,183,48655
crypto,BTCUSDT,2025-07-01,2025-06-30,as_gamma_0.001,-5e-05,0.00055,200,cancel-from-back,-8.983597699999631,-1.2645435878850002,-7.719054112114631,125,0.239544,48911,489.10999999970016,0.0004897548608700432,391.288,0.0006350198379629629,0.0034420502979951866,0.04926299999999999,-0.011019999999999974,183,48655
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0002,0.00055,10,cancel-from-back,-864.032287349998,1430.5728330848,-2294.605120434798,30548,67.256939,33231,332.3099999998428,0.20239216093416335,1.0878289904412728,0.025306251168981473,0.029254066695966495,0.04999799999999992,-0.019476999999999686,29159,30
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0001,0.00055,10,cancel-from-back,-864.032287349998,715.2864165424,-1579.318703892398,30548,67.256939,33231,332.3099999998428,0.20239216093416335,1.0878289904412728,0.025306251168981473,0.029254066695966495,0.04999799999999992,-0.019476999999999686,29159,30
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0,0.00055,10,cancel-from-back,-864.032287349998,0.0,-864.032287349998,30548,67.256939,33231,332.3099999998428,0.20239216093416335,1.0878289904412728,0.025306251168981473,0.029254066695966495,0.04999799999999992,-0.019476999999999686,29159,30
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,-5e-05,0.00055,10,cancel-from-back,-864.032287349998,-357.6432082712,-506.389079078798,30548,67.256939,33231,332.3099999998428,0.20239216093416335,1.0878289904412728,0.025306251168981473,0.029254066695966495,0.04999799999999992,-0.019476999999999686,29159,30
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0002,0.00055,50,cancel-from-back,-844.1653892999976,1405.2952458470202,-2249.460635147018,29596,66.068354,33249,332.4899999998426,0.19870779271566447,1.1234288417353697,0.02531040938657406,0.02922557730638383,0.049919000000000206,-0.02121199999999952,28770,116
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0001,0.00055,50,cancel-from-back,-844.1653892999976,702.6476229235101,-1546.8130122235077,29596,66.068354,33249,332.4899999998426,0.19870779271566447,1.1234288417353697,0.02531040938657406,0.02922557730638383,0.049919000000000206,-0.02121199999999952,28770,116
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0,0.00055,50,cancel-from-back,-844.1653892999976,0.0,-844.1653892999976,29596,66.068354,33249,332.4899999998426,0.19870779271566447,1.1234288417353697,0.02531040938657406,0.02922557730638383,0.049919000000000206,-0.02121199999999952,28770,116
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,-5e-05,0.00055,50,cancel-from-back,-844.1653892999976,-351.32381146175504,-492.8415778382426,29596,66.068354,33249,332.4899999998426,0.19870779271566447,1.1234288417353697,0.02531040938657406,0.02922557730638383,0.049919000000000206,-0.02121199999999952,28770,116
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0002,0.00055,200,cancel-from-back,-814.0456221500028,1340.9793643377202,-2155.0249864877233,28303,63.044069,33124,331.23999999984375,0.19032746347068513,1.1703353001448609,0.02563704476851851,0.0293329326970593,0.049998000000000056,-0.01004499999999943,25993,907
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0001,0.00055,200,cancel-from-back,-814.0456221500028,670.4896821688601,-1484.535304318863,28303,63.044069,33124,331.23999999984375,0.19032746347068513,1.1703353001448609,0.02563704476851851,0.0293329326970593,0.049998000000000056,-0.01004499999999943,25993,907
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,0.0,0.00055,200,cancel-from-back,-814.0456221500028,0.0,-814.0456221500028,28303,63.044069,33124,331.23999999984375,0.19032746347068513,1.1703353001448609,0.02563704476851851,0.0293329326970593,0.049998000000000056,-0.01004499999999943,25993,907
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_gamma_0.0001,-5e-05,0.00055,200,cancel-from-back,-814.0456221500028,-335.24484108443005,-478.8007810655728,28303,63.044069,33124,331.23999999984375,0.19032746347068513,1.1703353001448609,0.02563704476851851,0.0293329326970593,0.049998000000000056,-0.01004499999999943,25993,907
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0002,0.00055,10,cancel-from-back,-852.8332309499991,1413.9275251202803,-2266.7607560702795,30295,66.474297,100020,1000.1999999992354,0.066461004799091,3.301534906750289,0.02482403960648147,0.02862734149842365,0.04999700000000017,-0.01452499999999968,87061,65
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0001,0.00055,10,cancel-from-back,-852.8332309499991,706.9637625601401,-1559.7969935101391,30295,66.474297,100020,1000.1999999992354,0.066461004799091,3.301534906750289,0.02482403960648147,0.02862734149842365,0.04999700000000017,-0.01452499999999968,87061,65
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0,0.00055,10,cancel-from-back,-852.8332309499991,0.0,-852.8332309499991,30295,66.474297,100020,1000.1999999992354,0.066461004799091,3.301534906750289,0.02482403960648147,0.02862734149842365,0.04999700000000017,-0.01452499999999968,87061,65
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,-5e-05,0.00055,10,cancel-from-back,-852.8332309499991,-353.48188128007007,-499.35134966992905,30295,66.474297,100020,1000.1999999992354,0.066461004799091,3.301534906750289,0.02482403960648147,0.02862734149842365,0.04999700000000017,-0.01452499999999968,87061,65
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0002,0.00055,50,cancel-from-back,-856.854059049997,1406.9991266900602,-2263.853185740057,29635,66.148775,100106,1001.0599999992346,0.06607873154461329,3.3779652437995615,0.024901256631944434,0.02882387748236631,0.04998800000000005,-0.020068999999999938,86733,154
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0001,0.00055,50,cancel-from-back,-856.854059049997,703.4995633450301,-1560.353622395027,29635,66.148775,100106,1001.0599999992346,0.06607873154461329,3.3779652437995615,0.024901256631944434,0.02882387748236631,0.04998800000000005,-0.020068999999999938,86733,154
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0,0.00055,50,cancel-from-back,-856.854059049997,0.0,-856.854059049997,29635,66.148775,100106,1001.0599999992346,0.06607873154461329,3.3779652437995615,0.024901256631944434,0.02882387748236631,0.04998800000000005,-0.020068999999999938,86733,154
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,-5e-05,0.00055,50,cancel-from-back,-856.854059049997,-351.74978167251504,-505.10427737748194,29635,66.148775,100106,1001.0599999992346,0.06607873154461329,3.3779652437995615,0.024901256631944434,0.02882387748236631,0.04998800000000005,-0.020068999999999938,86733,154
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0002,0.00055,200,cancel-from-back,-834.1514771500003,1381.1204807287002,-2215.2719578787005,28821,64.931443,99400,993.999999999241,0.06532338329984867,3.448874084868672,0.025420192164351842,0.029136940410980524,0.04997199999999996,-0.020626999999999784,82834,1034
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0001,0.00055,200,cancel-from-back,-834.1514771500003,690.5602403643501,-1524.7117175143503,28821,64.931443,99400,993.999999999241,0.06532338329984867,3.448874084868672,0.025420192164351842,0.029136940410980524,0.04997199999999996,-0.020626999999999784,82834,1034
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,0.0,0.00055,200,cancel-from-back,-834.1514771500003,0.0,-834.1514771500003,28821,64.931443,99400,993.999999999241,0.06532338329984867,3.448874084868672,0.025420192164351842,0.029136940410980524,0.04997199999999996,-0.020626999999999784,82834,1034
crypto,BTCUSDT,2025-07-01,2025-06-30,glft_imbalance_gamma_0.001_beta_2,-5e-05,0.00055,200,cancel-from-back,-834.1514771500003,-345.28012018217504,-488.8713569678253,28821,64.931443,99400,993.999999999241,0.06532338329984867,3.448874084868672,0.025420192164351842,0.029136940410980524,0.04997199999999996,-0.020626999999999784,82834,1034
crypto,BTCUSDT,2025-07-02,2025-07-01,symmetric,0.0002,0.00055,10,cancel-from-back,-1498.6542847000276,2402.4997410832,-3901.1540257832276,34075,111.185058,36810,368.0999999998102,0.3020512306440025,1.08026412325752,0.026287759673144253,0.029858059806899262,0.04997100000000151,-0.04553400000000105,35,2
crypto,BTCUSDT,2025-07-02,2025-07-01,symmetric,0.0001,0.00055,10,cancel-from-back,-1498.6542847000276,1201.2498705416,-2699.9041552416274,34075,111.185058,36810,368.0999999998102,0.3020512306440025,1.08026412325752,0.026287759673144253,0.029858059806899262,0.04997100000000151,-0.04553400000000105,35,2
